rep,N,assumption,option,experiment,dgp_name,mu_rmse,mu_nmse,mu_mse,mu_variance,moment_rmse,moment_nmse,moment_mse,moment_variance,tau_rmse,tau_nmse,tau_mse,tau_variance
15,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0063348497944338954,0.0001996099402163087,4.013032191803917e-05,0.20104370491044518,0.0031097715277989594,0.0016605716130608165,9.670678955109073e-06,0.005823704849009059,0.045385976654398336,0.00039055379965679594,0.002059886876873591,5.274271761492892
16,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.003793208631962782,7.160365584335849e-05,1.4388431725596962e-05,0.20094549022850686,0.0016563416204758233,0.00046985433604368503,2.7434675637204763e-06,0.005838974663554878,0.021373467820138433,8.672518010900308e-05,0.00045682512665849316,5.267502772370367
17,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.008399398179283715,0.00035046930400127934,7.05498897741546e-05,0.2013011951936797,0.0030710658191733424,0.0016131539989297325,9.431445265694832e-06,0.005846587041257217,0.04335463287567228,0.0003569590626021262,0.001879624191784324,5.265657574519662
18,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.00384742245985945,7.358864396989258e-05,1.480265958463094e-05,0.20115412903500673,0.0036075038059870898,0.0022270164566174084,1.3014083710211337e-05,0.00584373037367595,0.040857777105876,0.0003169888675462111,0.001669357950033445,5.266298349704925
19,6400,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.007418752025039974,0.00027390843453666317,5.503788160903472e-05,0.20093532972847464,0.0021035841183051703,0.0007579407472728206,4.42506614278574e-06,0.005838274507219413,0.021942251546972897,9.139798776831767e-05,0.00048146240295063455,5.267757143309115
0,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0032243805553527644,5.163501959723894e-05,1.0396629965737e-05,0.20134842683961982,0.0018369504313977332,0.0005769890197796288,3.3743868874123185e-06,0.005848268808826048,0.028373014547329704,0.00015289789684907898,0.0008050279545029831,5.2651342568668715
1,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0079826459011367,0.000315990780235296,6.372263558293456e-05,0.20165979379361898,0.001911512498736451,0.0006244257029587777,3.65388003282567e-06,0.005851584929179134,0.020266145747645372,7.80101001927624e-05,0.00041071666346480457,5.264916497350043
2,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0037082250848170187,6.8471949462615e-05,1.3750933279666186e-05,0.20082578906525886,0.0029614599439610548,0.001503376348611655,8.770244999685813e-06,0.005833698932263368,0.030359353176523423,0.00017491833945209527,0.0009216903252968828,5.269260662912395
3,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0022228652037455665,2.451780506434669e-05,4.941129714022818e-06,0.20153230279198656,0.0016301176620322783,0.00045366781184349525,2.6572835920695814e-06,0.005857333323410394,0.019203408028820104,7.0081093441548e-05,0.0003687708799213525,5.262059448728927
4,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.005493531479626978,0.00015019913112574625,3.017888811765258e-05,0.20092585017943218,0.0013588937656308243,0.0003163844749767331,1.8465922662703214e-06,0.005836545128853493,0.01388342126296932,3.658563676487841e-05,0.00019274938596506864,5.268444204040882
5,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0037191676373182435,6.872841165778228e-05,1.3832207914475366e-05,0.20125894925885593,0.0017449380081122718,0.0005199029339233028,3.044808652154823e-06,0.0058564944597985285,0.018182816047767836,6.283791668513109e-05,0.00033061479942696355,5.261390206228697
6,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004111554912508397,8.394177548270229e-05,1.6904883798571934e-05,0.20138820868824114,0.002339201059030275,0.0009360575991617954,5.471861594568359e-06,0.005845646250260889,0.03848628119520614,0.0002812549930911144,0.0014811938402364776,5.266373492457911
7,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.006213391901631059,0.00019192897510414132,3.860623892325443e-05,0.20114857020575735,0.0016746603805940592,0.00048052797335411434,2.8044873903314395e-06,0.005836262498426362,0.012916376149680052,3.166071012764481e-05,0.00016683277284002367,5.269394532447719
8,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.005420798230553118,0.00014605691280722042,2.9385053456367815e-05,0.20118906316439097,0.0021210790579664837,0.0007689304736195473,4.4989763701439855e-06,0.005850953401503498,0.03531832767072337,0.00023699094561732757,0.0012473842694565838,5.263425850330805
9,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.006037331411708557,0.00018103426514478132,3.644937057480284e-05,0.20133962233974118,0.0033374451322292346,0.0019035604780924626,1.1138540010640614e-05,0.0058514242856115735,0.046575287579275905,0.0004121093364094986,0.002169257413092252,5.263790992924114
10,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.002786180696659309,3.8519005064967104e-05,7.762802874436952e-06,0.20153175974675402,0.0015548853546609633,0.0004131974858598316,2.4176684661391496e-06,0.005851120950332432,0.020705113033734613,8.14305119707973e-05,0.000428701705739727,5.26463232717324
11,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004925925820927733,0.00012035308663553264,2.4264745193282566e-05,0.20161298618592075,0.0016287365932817581,0.0004529438441727648,2.652782890295067e-06,0.005856758899417176,0.017230498621731313,5.641512562681427e-05,0.00029689008275348463,5.26259721049654
12,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.004870925030293146,0.00011792778123140397,2.372591065073629e-05,0.20119017251906135,0.0024900579313880318,0.0010606436191565626,6.200388501668444e-06,0.0058458735711803675,0.04961168444663692,0.0004674390426575632,0.0024613192336326757,5.265540549713539
13,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.0027832424334424937,3.8526759414836554e-05,7.746438443314895e-06,0.201066442155313,0.0020432678154111506,0.0007147465798796857,4.174943365495055e-06,0.005841151931357027,0.023133012776125776,0.00010160083968145385,0.0005351362801003984,5.267045841138671
14,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.005019900886086027,0.0001250206573479888,2.519940490612728e-05,0.20156192936968795,0.0017232300632130124,0.0005073974165302534,2.9695218507611226e-06,0.005852457568798177,0.018306657922287327,6.366292454701146e-05,0.0003351337242836453,5.26418989809631
15,12800,lagged,parametric,raw,lagged_shared_easy_linear_last_lag,0.003400276315481267,5.7458318436603954e-05,1.156187902162286e-05,0.20122202208857784,0.0023579495288327296,0.0009507168157594451,5.559925980522492e-06,0.005848140990418004,0.01592157297198088,4.81500742235426e-05,0.0002534964859021121,5.264716409890122
