rep,setting,assumption,method,lag,source_t,tau_rmse,tau_bias,mean_tau_hat,mean_tau_true,mean_abs_tau_hat,mean_abs_tau_true,tau_hat_sd,tau_true_sd,sign_alignment,cosine_alignment
22,power,static,RV,,5,0.5776034055731257,0.38333484258935707,-0.016665157410642926,-0.4,0.4193626059388816,0.4,0.4303078165263778,0.023093963471002548,0.522,0.035789534129151514
23,power,static,RV,,1,0.47230623805565913,0.3894739860684897,-0.010526013931510318,-0.4,0.1966319807228655,0.4,0.2668535511320242,0.023093963471002548,0.402,0.04103538782422037
23,power,static,RV,,2,0.6208494693564777,0.3847072977167504,-0.015292702283249643,-0.4,0.45105861176074413,0.4,0.48723727912379744,0.023093963471002548,0.52,0.032545532915129745
23,power,static,RV,,3,0.5879071214967535,0.3573169432279095,-0.04268305677209052,-0.4,0.4491609721138287,0.4,0.4673039354797706,0.023093963471002548,0.538,0.09332732010066191
23,power,static,RV,,4,0.43665177902278673,0.3837095443431076,-0.016290455656892376,-0.4,0.1471380352839189,0.4,0.20642347119712143,0.023093963471002548,0.334,0.0768078777167511
23,power,static,RV,,5,0.622773202622387,0.35080707934209704,-0.04919292065790299,-0.4,0.5143537365192214,0.4,0.5144345223667167,0.023093963471002548,0.546,0.0959874447507012
24,power,static,RV,,1,0.509187625253955,0.3815040505861284,-0.018495949413871657,-0.4,0.32019634339147957,0.4,0.334554958632359,0.023093963471002548,0.516,0.05039278007276757
24,power,static,RV,,2,0.6087176895003957,0.3715154590213647,-0.028484540978635366,-0.4,0.46652795614182685,0.4,0.4806892311110101,0.023093963471002548,0.532,0.05667648416841828
24,power,static,RV,,3,0.4705912470277564,0.39944864069402686,-0.0005513593059732332,-0.4,0.20250168847415623,0.4,0.24518263765411108,0.023093963471002548,0.43,-0.004112319879807337
24,power,static,RV,,4,0.47269226452074764,0.36421610764613527,-0.03578389235386476,-0.4,0.24348017869728608,0.4,0.2989830669994711,0.023093963471002548,0.434,0.1150739016066172
24,power,static,RV,,5,0.5017736929150586,0.381180908840876,-0.018819091159123932,-0.4,0.3167416621623315,0.4,0.32337080697299403,0.023093963471002548,0.528,0.052700797296263445
25,power,static,RV,,1,0.522133973459283,0.39341431901377677,-0.0065856809862232255,-0.4,0.3250112321547275,0.4,0.3398297206507291,0.023093963471002548,0.478,0.012619176076536077
25,power,static,RV,,2,0.5309720984404126,0.39917239986136177,-0.0008276001386382763,-0.4,0.254191211591237,0.4,0.3473006090795406,0.023093963471002548,0.34,-0.002801398121195264
25,power,static,RV,,3,0.5578720858126729,0.3923801600544598,-0.007619839945540198,-0.4,0.38872397130544356,0.4,0.3939130925375894,0.023093963471002548,0.51,0.01437265715466821
25,power,static,RV,,4,0.5141674701827912,0.3882967444972125,-0.011703255502787514,-0.4,0.251129149493328,0.4,0.33345130510468407,0.023093963471002548,0.34,0.028020677227207753
25,power,static,RV,,5,0.5340398625773914,0.3986958197074019,-0.001304180292598085,-0.4,0.3418931049947952,0.4,0.35205589257642367,0.023093963471002548,0.506,-0.0025528227521001675
26,power,static,RV,,1,0.40322166138166676,0.3889170168831747,-0.011082983116825252,-0.4,0.050964053173050625,0.4,0.10073953022751257,0.023093963471002548,0.158,0.1011773829334495
26,power,static,RV,,2,0.4957566647060968,0.4101275504992615,0.010127550499261487,-0.4,0.1578130849694371,0.4,0.27585767597649047,0.023093963471002548,0.214,-0.04087346247109571
26,power,static,RV,,3,0.527168542094811,0.3544752621063949,-0.04552473789360511,-0.4,0.38369110571182097,0.4,0.38628719165011366,0.023093963471002548,0.562,0.10881749431980597
26,power,static,RV,,4,0.47515423807236506,0.3653902630691857,-0.03460973693081432,-0.4,0.24954303324129878,0.4,0.30237079461563615,0.023093963471002548,0.426,0.11229925165523068
26,power,static,RV,,5,0.5969844326190463,0.355999393162613,-0.04400060683738707,-0.4,0.4744147219748569,0.4,0.47621867301734233,0.023093963471002548,0.554,0.08575211914823425
27,power,static,RV,,1,0.5375225186120913,0.3678749579268065,-0.03212504207319348,-0.4,0.3862348073738346,0.4,0.3903658336377345,0.023093963471002548,0.546,0.07971568184632236
27,power,static,RV,,2,0.4882387548699242,0.39457814511642186,-0.005421854883578117,-0.4,0.21368889143703204,0.4,0.28485952779885493,0.023093963471002548,0.314,0.01458814301202492
27,power,static,RV,,3,0.5528014619921531,0.3665153893918214,-0.03348461060817863,-0.4,0.4053299943184067,0.4,0.4121313024593018,0.023093963471002548,0.548,0.07821911773772142
27,power,static,RV,,4,0.5390865905097948,0.3742006314471896,-0.025799368552810443,-0.4,0.30404629995908794,0.4,0.3875458192192254,0.023093963471002548,0.342,0.06675339397986639
27,power,static,RV,,5,0.5080729523638511,0.38765177371875403,-0.012348226281245978,-0.4,0.3033158707242271,0.4,0.3272175785418698,0.023093963471002548,0.514,0.03665835478020454
28,power,static,RV,,1,0.47004176238818995,0.39985835599439373,-0.00014164400560630596,-0.4,0.2100504072905994,0.4,0.24581866039665967,0.023093963471002548,0.42,0.00010613444266156582
28,power,static,RV,,2,0.6635769768962166,0.4013888559421357,0.0013888559421356668,-0.4,0.5190615938382678,0.4,0.5278713276679663,0.023093963471002548,0.502,-0.0027210421209199363
28,power,static,RV,,3,0.5097521243802924,0.3975450253381275,-0.0024549746618724964,-0.4,0.30518256932338983,0.4,0.3176248905695241,0.023093963471002548,0.508,0.006198470722231586
