rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
1,Oracle,,1,2.6024978832847507,0.06986027944111776,1,lagged,power,500,0.1
1,DM,,1,-0.3794599390179456,0.8562874251497006,0,lagged,power,500,0.1
1,cDM,,1,0.005034910733595784,0.5129740518962076,0,lagged,power,500,0.1
1,SS,1.2004860351337554,1,-2.6752959784220804,0.7784431137724551,0,lagged,power,500,0.1
1,RC,0.5942542015651942,2,1.1737949634578349,0.027944111776447105,1,lagged,power,500,0.1
1,Oracle,,2,2.280846052925901,0.00998003992015968,1,lagged,power,500,0.1
1,DM,,2,-0.7034042409338659,0.9540918163672655,0,lagged,power,500,0.1
1,cDM,,2,-0.040197948656453465,0.6487025948103793,0,lagged,power,500,0.1
1,SS,0.776314855206739,2,0.939182073578154,0.08183632734530938,1,lagged,power,500,0.1
1,RC,0.658914171081825,3,8.003911709237832,0.003992015968063872,1,lagged,power,500,0.1
1,Oracle,,3,6.306245208723341,0.007984031936127744,1,lagged,power,500,0.1
1,DM,,3,-0.6321367064724027,0.9021956087824351,0,lagged,power,500,0.1
1,cDM,,3,0.07562720990973645,0.30538922155688625,0,lagged,power,500,0.1
1,SS,0.8728028374665839,3,3.2529565177586113,0.01996007984031936,1,lagged,power,500,0.1
1,RC,1.0979034789420432,4,1.393871067100641,0.2694610778443114,0,lagged,power,500,0.1
1,Oracle,,4,7.647444709606219,0.001996007984031936,1,lagged,power,500,0.1
1,DM,,4,0.19126752904979316,0.3313373253493014,0,lagged,power,500,0.1
1,cDM,,4,-0.057713735469605024,0.7005988023952096,0,lagged,power,500,0.1
1,SS,0.792507696268311,4,2.2602004859952483,0.023952095808383235,1,lagged,power,500,0.1
1,RC,0.9147318480265776,5,-0.7615602551979149,1.0,0,lagged,power,500,0.1
1,Oracle,,5,1.7309251584613914,0.005988023952095809,1,lagged,power,500,0.1
1,DM,,5,-0.1502626900732353,0.6646706586826348,0,lagged,power,500,0.1
1,cDM,,5,-0.07029325768745269,0.7465069860279441,0,lagged,power,500,0.1
1,SS,0.806111837791767,5,-1.6329379161334032,0.5788423153692615,0,lagged,power,500,0.1
2,RC,0.3427809465886923,1,-0.4960191011857281,0.5868263473053892,0,lagged,power,500,0.1
2,Oracle,,1,0.4642610293762555,0.20159680638722555,0,lagged,power,500,0.1
2,DM,,1,-0.40635718357081707,0.846307385229541,0,lagged,power,500,0.1
2,cDM,,1,0.04578892712595291,0.3652694610778443,0,lagged,power,500,0.1
2,SS,0.8244067076946464,1,0.2018385689718422,0.48902195608782434,0,lagged,power,500,0.1
