rep,method,rmse,k,stat_obs,pvalue,reject,assumption,setting,n_perms,alpha
8,RV,0.511079758828555,3,1.5566489681123377,0.08383233532934131,1,static,power,500,0.1
8,Oracle,,3,0.49412244595622345,0.3972055888223553,0,static,power,500,0.1
8,DM,,3,1.049155993084451,0.029940119760479042,1,static,power,500,0.1
8,cDM,,3,0.11924035860574395,0.249500998003992,0,static,power,500,0.1
8,SS,0.9289535208394857,3,0.1643074723726217,0.6127744510978044,0,static,power,500,0.1
8,RV,1.1580146308600643,4,1.9596189656601848,0.3852295409181637,0,static,power,500,0.1
8,Oracle,,4,2.165550763869907,0.2155688622754491,0,static,power,500,0.1
8,DM,,4,-0.29992826782524334,0.716566866267465,0,static,power,500,0.1
8,cDM,,4,-0.05817092486700383,0.6506986027944112,0,static,power,500,0.1
8,SS,1.0396666483692172,4,1.628289514221155,0.02594810379241517,1,static,power,500,0.1
8,RV,0.9137643495747229,5,8.207962841074451,0.04790419161676647,1,static,power,500,0.1
8,Oracle,,5,13.824961432844935,0.005988023952095809,1,static,power,500,0.1
8,DM,,5,-0.6647962583682869,0.810379241516966,0,static,power,500,0.1
8,cDM,,5,0.096753087417258,0.31736526946107785,0,static,power,500,0.1
8,SS,1.475261069648042,5,-0.13974334004626493,0.34530938123752497,0,static,power,500,0.1
9,RV,0.8671694641936958,1,0.02302279509367864,0.5948103792415169,0,static,power,500,0.1
9,Oracle,,1,0.4550795208550856,0.03792415169660679,1,static,power,500,0.1
9,DM,,1,0.38105710089306233,0.2834331337325349,0,static,power,500,0.1
9,cDM,,1,0.376827758400808,0.013972055888223553,1,static,power,500,0.1
9,SS,1.2958934951973178,1,-2.2733207902763892,0.8163672654690619,0,static,power,500,0.1
9,RV,0.7706164699160977,2,0.5187720914244874,0.5089820359281437,0,static,power,500,0.1
9,Oracle,,2,0.011783153265792035,0.2435129740518962,0,static,power,500,0.1
9,DM,,2,-1.3928087167032033,0.9780439121756487,0,static,power,500,0.1
9,cDM,,2,0.005319724232769653,0.4550898203592814,0,static,power,500,0.1
9,SS,0.7356902770720691,2,-1.1250939179184951,0.9600798403193613,0,static,power,500,0.1
9,RV,1.308611048715675,3,1.3061805449043657,0.1217564870259481,0,static,power,500,0.1
9,Oracle,,3,3.158929938002221,0.09780439121756487,1,static,power,500,0.1
9,DM,,3,-0.43679732123458614,0.7065868263473054,0,static,power,500,0.1
9,cDM,,3,-0.23518120377491905,0.9121756487025948,0,static,power,500,0.1
9,SS,1.2084798090592108,3,1.243442111313319,0.25149700598802394,0,static,power,500,0.1
9,RV,1.1877417375628998,4,3.163672219786904,0.16966067864271456,0,static,power,500,0.1
9,Oracle,,4,6.059495308495422,0.001996007984031936,1,static,power,500,0.1
9,DM,,4,-0.14160296156622115,0.6287425149700598,0,static,power,500,0.1
9,cDM,,4,0.03200944372257048,0.38922155688622756,0,static,power,500,0.1
9,SS,1.5664967293571088,4,-2.9092184644631405,0.998003992015968,0,static,power,500,0.1
9,RV,0.9546066992295887,5,-0.47539275627463695,0.5508982035928144,0,static,power,500,0.1
9,Oracle,,5,1.138078830823141,0.001996007984031936,1,static,power,500,0.1
9,DM,,5,-1.150249594405146,0.9800399201596807,0,static,power,500,0.1
9,cDM,,5,-0.3439848006479985,0.9700598802395209,0,static,power,500,0.1
9,SS,1.4247698698057338,5,0.6370218375435728,0.47305389221556887,0,static,power,500,0.1
10,RV,0.5882281126960875,1,0.6684762312340562,0.5189620758483033,0,static,power,500,0.1
10,Oracle,,1,0.09050854608056147,0.16766467065868262,0,static,power,500,0.1
10,DM,,1,-0.26762281681022687,0.7045908183632734,0,static,power,500,0.1
